folder,filename,type,is_watercolor,confidence,processed_frames,planned_frames,total_frames,watercolor_frames_count,watercolor_frames_percent,avg_watercolor_confidence
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251012-100044000.mov,video,True,0.7399286153641614,11,11,306,8,0.7272727272727273,0.9915643557906151
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251012-112257000.mov,video,True,0.9904359422231975,19,19,523,19,1.0,0.9904359422231975
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251027-191703000.mov,video,True,0.8877049048741659,15,15,425,15,1.0,0.8877049048741659
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-133140000+2.mov,video,True,0.8854638983805975,12,12,347,12,1.0,0.8854638983805975
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-154038000.mov,video,True,0.9528392815327906,182,1823,52859,182,1.0,0.9528392815327906
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251028-121607000.mov,video,True,0.8962614321431448,86,868,25153,86,1.0,0.8962614321431448
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251114-162340000.mov,video,False,0.3123565023532137,20,20,562,8,0.4,0.7266082987189293
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251102-171150000.mov,video,True,0.857956579198008,92,925,26809,92,1.0,0.857956579198008
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251009-101439000.mov,video,True,0.5153387925372674,13,13,375,7,0.5384615384615384,0.8987641419683184
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251008-190757000.mov,video,False,0.30609140711437377,14,14,383,4,0.2857142857142857,0.8113366514444351
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-123329000.mov,video,True,0.9532144341779791,46,46,1323,46,1.0,0.9532144341779791
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251110-201344000.mov,video,True,0.48885438391672714,56,564,16330,34,0.6071428571428571,0.6675143259413102
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251003-173758000.mov,video,False,0.1002970538684167,12,12,346,1,0.08333333333333333,0.6777029633522034
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-124221000.mov,video,True,0.6963594346215912,51,51,1451,37,0.7254901960784313,0.9327630561751288
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-133140000+3.mov,video,True,0.9880585115531395,29,29,820,29,1.0,0.9880585115531395
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-133140000+1.mov,video,True,0.9922095358371734,30,304,8800,30,1.0,0.9922095358371734
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251002-171234000.mov,video,True,0.5850225446952714,18,18,510,9,0.5,0.9437178704473708
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-192806000.mov,video,True,0.9367540213796828,9,9,257,9,1.0,0.9367540213796828
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251102-180746000.mov,video,True,0.9889121000413541,54,548,15876,54,1.0,0.9889121000413541
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251009-195217000.mov,video,False,0.08043153844092314,246,246,7116,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-131404000.mov,video,True,0.9947180569171905,40,404,11698,40,1.0,0.9947180569171905
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251111-194646000.mov,video,True,0.7407069802284241,9,9,254,9,1.0,0.7407069802284241
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251021-195857000.mov,video,True,0.8588424945530826,73,73,2106,73,1.0,0.8588424945530826
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251112-105848000.mov,video,True,0.7136477444730053,346,346,10033,272,0.7861271676300579,0.8429201788762036
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251102-173415000.mov,video,True,0.9731298874203975,104,1049,30406,104,1.0,0.9731298874203975
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-140726000.mov,video,False,0.49106380503092495,14,14,390,6,0.42857142857142855,0.9839011132717133
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251027-191733000.mov,video,True,0.8247537453969319,15,15,411,13,0.8666666666666667,0.8855352630982032
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251104-172418000.mov,video,True,0.9871653268734614,12,12,341,12,1.0,0.9871653268734614
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251002-171325000+1.mov,video,False,0.4717152370687793,17,17,492,7,0.4117647058823529,0.9680379799434117
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-192742000.mov,video,True,0.9783735275268555,9,9,257,9,1.0,0.9783735275268555
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251025-173521000.mov,video,True,0.9449261974115841,61,616,17848,61,1.0,0.9449261974115841
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251021-172120000.mov,video,True,0.9435405375027075,82,823,23855,82,1.0,0.9435405375027075
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-151103000.mov,video,True,0.7747015652971135,18,18,509,15,0.8333333333333334,0.9159017205238342
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-125136000+1.mov,video,True,0.8799128731091818,9,9,238,9,1.0,0.8799128731091818
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251021-174437000.mov,video,True,0.6923024897243231,524,524,15174,434,0.8282442748091603,0.7681851704274455
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251108-123411000.mov,video,True,0.9880518103257204,39,398,11525,39,1.0,0.9880518103257204
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-130939000.mov,video,True,0.5870408475624792,33,33,953,23,0.696969696969697,0.8080706700034763
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251025-192044000.mov,video,True,0.9198508544972068,95,958,27755,94,0.9894736842105263,0.9246689055828338
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251004-134444000.mov,video,True,0.43418018855644686,38,38,1101,21,0.5526315789473685,0.6829117706843785
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251012-112222000.mov,video,False,0.3521015809937602,21,21,607,6,0.2857142857142857,0.9541854560375214
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-125117000.mov,video,True,0.9640766978263855,9,9,252,9,1.0,0.9640766978263855
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251103-113452000.mov,video,True,0.994788916905721,150,1507,43675,150,1.0,0.994788916905721
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251018-191510000+3.mov,video,True,0.9880518411335192,19,19,562,19,1.0,0.9880518411335192
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251107-180148000.mov,video,True,0.9390766892516822,57,570,16517,57,1.0,0.9390766892516822
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251003-173726000.mov,video,False,0.21247380103782884,14,14,399,2,0.14285714285714285,0.7127352952957153
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251024-125136000.mov,video,True,0.8918092118369209,9,9,238,9,1.0,0.8918092118369209
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251103-175407000.mov,video,True,0.9686099529266358,10,10,279,10,1.0,0.9686099529266358
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251012-172804000.mov,video,True,0.5414835167427857,15,15,432,8,0.5333333333333333,0.9203624576330185
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251006-144038000.mov,video,True,0.9971967175089079,29,29,865,29,1.0,0.9971967175089079
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251003-173657000.mov,video,False,0.29251489939633757,12,12,329,4,0.3333333333333333,0.739180251955986
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251114-145701000.mov,video,False,0.4468073881841425,29,29,814,12,0.41379310344827586,0.932803546388944
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251108-130922000.mov,video,True,0.8838881738483906,16,16,448,16,1.0,0.8838881738483906
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251109-175628000.mov,video,True,0.9075365215539932,28,28,809,27,0.9642857142857143,0.9241622377324987
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251102-165022000.mov,video,True,0.7473141759634018,40,400,11571,39,0.975,0.7536931267151465
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251012-172739000.mov,video,False,0.29593415847538335,19,19,539,5,0.2631578947368421,0.9237630009651184
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251028-125640000.mov,video,True,0.9855712013585227,14,146,4215,14,1.0,0.9855712013585227
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/watercolor_process,20251104-172418000+1.mov,video,True,0.9881439010302225,12,12,341,12,1.0,0.9881439010302225
